TotalCharge,Groups,Envelope ,Miles
298.71,Std -- Double Miles,Standard,Double Miles
3335.22,Std -- Double Miles,Standard,Double Miles
1174.86,Std -- Double Miles,Standard,Double Miles
1790.93,Std -- Double Miles,Standard,Double Miles
3857.26,Std -- Double Miles,Standard,Double Miles
4244.16,Std -- Double Miles,Standard,Double Miles
109.28,Std -- Double Miles,Standard,Double Miles
3994.27,Std -- Double Miles,Standard,Double Miles
1005.06,Std -- Double Miles,Standard,Double Miles
105.11,Std -- Double Miles,Standard,Double Miles
1963,Std -- Double Miles,Standard,Double Miles
-52.05,Std -- Double Miles,Standard,Double Miles
1658.27,Std -- Double Miles,Standard,Double Miles
-79.73,Std -- Double Miles,Standard,Double Miles
383.19,Std -- Double Miles,Standard,Double Miles
51.37,Std -- Double Miles,Standard,Double Miles
2954.07,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
1810.59,Std -- Double Miles,Standard,Double Miles
520.08,Std -- Double Miles,Standard,Double Miles
2143.01,Std -- Double Miles,Standard,Double Miles
1117.09,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
3877.91,Std -- Double Miles,Standard,Double Miles
2020.09,Std -- Double Miles,Standard,Double Miles
3950.4,Std -- Double Miles,Standard,Double Miles
1338.2,Std -- Double Miles,Standard,Double Miles
3114.07,Std -- Double Miles,Standard,Double Miles
3124.96,Std -- Double Miles,Standard,Double Miles
195.03,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
3950.89,Std -- Double Miles,Standard,Double Miles
72.64,Std -- Double Miles,Standard,Double Miles
2719.09,Std -- Double Miles,Standard,Double Miles
3205.7,Std -- Double Miles,Standard,Double Miles
2054.13,Std -- Double Miles,Standard,Double Miles
245.66,Std -- Double Miles,Standard,Double Miles
1183.79,Std -- Double Miles,Standard,Double Miles
136.22,Std -- Double Miles,Standard,Double Miles
278.57,Std -- Double Miles,Standard,Double Miles
298.06,Std -- Double Miles,Standard,Double Miles
2492.03,Std -- Double Miles,Standard,Double Miles
-61.1,Std -- Double Miles,Standard,Double Miles
2163.59,Std -- Double Miles,Standard,Double Miles
4235.12,Std -- Double Miles,Standard,Double Miles
3421.97,Std -- Double Miles,Standard,Double Miles
1944.37,Std -- Double Miles,Standard,Double Miles
371.84,Std -- Double Miles,Standard,Double Miles
116.42,Std -- Double Miles,Standard,Double Miles
4021.55,Std -- Double Miles,Standard,Double Miles
3882.93,Std -- Double Miles,Standard,Double Miles
-99.19,Std -- Double Miles,Standard,Double Miles
935.85,Std -- Double Miles,Standard,Double Miles
513.25,Std -- Double Miles,Standard,Double Miles
2.85,Std -- Double Miles,Standard,Double Miles
3407.03,Std -- Double Miles,Standard,Double Miles
-45.23,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
-95.19,Std -- Double Miles,Standard,Double Miles
1579.84,Std -- Double Miles,Standard,Double Miles
2315.61,Std -- Double Miles,Standard,Double Miles
2934.81,Std -- Double Miles,Standard,Double Miles
-86.5,Std -- Double Miles,Standard,Double Miles
3838.16,Std -- Double Miles,Standard,Double Miles
176.42,Std -- Double Miles,Standard,Double Miles
2258.28,Std -- Double Miles,Standard,Double Miles
2467.03,Std -- Double Miles,Standard,Double Miles
3136.06,Std -- Double Miles,Standard,Double Miles
2972.34,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
1602.23,Std -- Double Miles,Standard,Double Miles
891.39,Std -- Double Miles,Standard,Double Miles
685.33,Std -- Double Miles,Standard,Double Miles
2035.88,Std -- Double Miles,Standard,Double Miles
101.79,Std -- Double Miles,Standard,Double Miles
2682.45,Std -- Double Miles,Standard,Double Miles
2908.34,Std -- Double Miles,Standard,Double Miles
907.08,Std -- Double Miles,Standard,Double Miles
-38.88,Std -- Double Miles,Standard,Double Miles
1317.44,Std -- Double Miles,Standard,Double Miles
4039.62,Std -- Double Miles,Standard,Double Miles
2031.32,Std -- Double Miles,Standard,Double Miles
2017.75,Std -- Double Miles,Standard,Double Miles
456.57,Std -- Double Miles,Standard,Double Miles
854.7,Std -- Double Miles,Standard,Double Miles
1587.43,Std -- Double Miles,Standard,Double Miles
-47.59,Std -- Double Miles,Standard,Double Miles
791.38,Std -- Double Miles,Standard,Double Miles
2516.26,Std -- Double Miles,Standard,Double Miles
-25.06,Std -- Double Miles,Standard,Double Miles
2227.51,Std -- Double Miles,Standard,Double Miles
61.11,Std -- Double Miles,Standard,Double Miles
2642.35,Std -- Double Miles,Standard,Double Miles
-46.3,Std -- Double Miles,Standard,Double Miles
2522.67,Std -- Double Miles,Standard,Double Miles
1113.48,Std -- Double Miles,Standard,Double Miles
-73.11,Std -- Double Miles,Standard,Double Miles
1159.63,Std -- Double Miles,Standard,Double Miles
987.11,Std -- Double Miles,Standard,Double Miles
-4.58,Std -- Double Miles,Standard,Double Miles
4163.45,Std -- Double Miles,Standard,Double Miles
2483.38,Std -- Double Miles,Standard,Double Miles
2373.63,Std -- Double Miles,Standard,Double Miles
1147.56,Std -- Double Miles,Standard,Double Miles
229.27,Std -- Double Miles,Standard,Double Miles
4001.34,Std -- Double Miles,Standard,Double Miles
1202.57,Std -- Double Miles,Standard,Double Miles
2014.38,Std -- Double Miles,Standard,Double Miles
4911.4,Std -- Double Miles,Standard,Double Miles
1841.14,Std -- Double Miles,Standard,Double Miles
2746.39,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
2234.26,Std -- Double Miles,Standard,Double Miles
1464.95,Std -- Double Miles,Standard,Double Miles
2338.47,Std -- Double Miles,Standard,Double Miles
4509.58,Std -- Double Miles,Standard,Double Miles
2826.54,Std -- Double Miles,Standard,Double Miles
18.86,Std -- Double Miles,Standard,Double Miles
3122.68,Std -- Double Miles,Standard,Double Miles
2704.34,Std -- Double Miles,Standard,Double Miles
2039.41,Std -- Double Miles,Standard,Double Miles
401.15,Std -- Double Miles,Standard,Double Miles
1724.13,Std -- Double Miles,Standard,Double Miles
2067.22,Std -- Double Miles,Standard,Double Miles
1786.26,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
1260.43,Std -- Double Miles,Standard,Double Miles
3262.82,Std -- Double Miles,Standard,Double Miles
86.06,Std -- Double Miles,Standard,Double Miles
-85.14,Std -- Double Miles,Standard,Double Miles
106.74,Std -- Double Miles,Standard,Double Miles
1158.67,Std -- Double Miles,Standard,Double Miles
-20.72,Std -- Double Miles,Standard,Double Miles
383.57,Std -- Double Miles,Standard,Double Miles
296.36,Std -- Double Miles,Standard,Double Miles
3921.26,Std -- Double Miles,Standard,Double Miles
3051.97,Std -- Double Miles,Standard,Double Miles
2815.2,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
1824.53,Std -- Double Miles,Standard,Double Miles
2767.52,Std -- Double Miles,Standard,Double Miles
1322.17,Std -- Double Miles,Standard,Double Miles
2444.19,Std -- Double Miles,Standard,Double Miles
4321.93,Std -- Double Miles,Standard,Double Miles
1071.93,Std -- Double Miles,Standard,Double Miles
1791.7,Std -- Double Miles,Standard,Double Miles
1888.81,Std -- Double Miles,Standard,Double Miles
3503.34,Std -- Double Miles,Standard,Double Miles
2705.97,Std -- Double Miles,Standard,Double Miles
4035.77,Std -- Double Miles,Standard,Double Miles
3891.63,Std -- Double Miles,Standard,Double Miles
3450.08,Std -- Double Miles,Standard,Double Miles
1016.54,Std -- Double Miles,Standard,Double Miles
289.48,Std -- Double Miles,Standard,Double Miles
3866.32,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
227.82,Std -- Double Miles,Standard,Double Miles
1361.51,Std -- Double Miles,Standard,Double Miles
1896.8,Std -- Double Miles,Standard,Double Miles
2589.99,Std -- Double Miles,Standard,Double Miles
2595.8,Std -- Double Miles,Standard,Double Miles
4797.87,Std -- Double Miles,Standard,Double Miles
4421.31,Std -- Double Miles,Standard,Double Miles
4583.02,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
3178.7,Std -- Double Miles,Standard,Double Miles
622.39,Std -- Double Miles,Standard,Double Miles
-45.78,Std -- Double Miles,Standard,Double Miles
283.04,Std -- Double Miles,Standard,Double Miles
34.16,Std -- Double Miles,Standard,Double Miles
446.42,Std -- Double Miles,Standard,Double Miles
3391.03,Std -- Double Miles,Standard,Double Miles
1171.91,Std -- Double Miles,Standard,Double Miles
3876.79,Std -- Double Miles,Standard,Double Miles
2695.59,Std -- Double Miles,Standard,Double Miles
1809.32,Std -- Double Miles,Standard,Double Miles
2815.25,Std -- Double Miles,Standard,Double Miles
754.83,Std -- Double Miles,Standard,Double Miles
511.38,Std -- Double Miles,Standard,Double Miles
3685.35,Std -- Double Miles,Standard,Double Miles
3857.07,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
2908.79,Std -- Double Miles,Standard,Double Miles
1289.55,Std -- Double Miles,Standard,Double Miles
554.98,Std -- Double Miles,Standard,Double Miles
1146.71,Std -- Double Miles,Standard,Double Miles
4023.82,Std -- Double Miles,Standard,Double Miles
17.09,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
4490.8,Std -- Double Miles,Standard,Double Miles
67.99,Std -- Double Miles,Standard,Double Miles
2328.99,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
1405.51,Std -- Double Miles,Standard,Double Miles
2006.41,Std -- Double Miles,Standard,Double Miles
2405.09,Std -- Double Miles,Standard,Double Miles
1309.47,Std -- Double Miles,Standard,Double Miles
2747.68,Std -- Double Miles,Standard,Double Miles
4010.16,Std -- Double Miles,Standard,Double Miles
1217.25,Std -- Double Miles,Standard,Double Miles
1997.93,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
231.73,Std -- Double Miles,Standard,Double Miles
1692.04,Std -- Double Miles,Standard,Double Miles
4091.79,Std -- Double Miles,Standard,Double Miles
1719.28,Std -- Double Miles,Standard,Double Miles
2382.89,Std -- Double Miles,Standard,Double Miles
435.34,Std -- Double Miles,Standard,Double Miles
4723.55,Std -- Double Miles,Standard,Double Miles
2627.84,Std -- Double Miles,Standard,Double Miles
2854.29,Std -- Double Miles,Standard,Double Miles
3040.66,Std -- Double Miles,Standard,Double Miles
3508.68,Std -- Double Miles,Standard,Double Miles
1728.44,Std -- Double Miles,Standard,Double Miles
1047.79,Std -- Double Miles,Standard,Double Miles
3633.14,Std -- Double Miles,Standard,Double Miles
7.54,Std -- Double Miles,Standard,Double Miles
1.11,Std -- Double Miles,Standard,Double Miles
2651.75,Std -- Double Miles,Standard,Double Miles
221.05,Std -- Double Miles,Standard,Double Miles
1543.04,Std -- Double Miles,Standard,Double Miles
3527.94,Std -- Double Miles,Standard,Double Miles
4445.4,Std -- Double Miles,Standard,Double Miles
906.06,Std -- Double Miles,Standard,Double Miles
-71.19,Std -- Double Miles,Standard,Double Miles
417.45,Std -- Double Miles,Standard,Double Miles
586.39,Std -- Double Miles,Standard,Double Miles
2657.98,Std -- Double Miles,Standard,Double Miles
921.3,Std -- Double Miles,Standard,Double Miles
1957.16,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
4120.19,Std -- Double Miles,Standard,Double Miles
-54.97,Std -- Double Miles,Standard,Double Miles
1646.25,Std -- Double Miles,Standard,Double Miles
840.88,Std -- Double Miles,Standard,Double Miles
4033.09,Std -- Double Miles,Standard,Double Miles
584.3,Std -- Double Miles,Standard,Double Miles
484.65,Std -- Double Miles,Standard,Double Miles
3292.99,Std -- Double Miles,Standard,Double Miles
1719.64,Std -- Double Miles,Standard,Double Miles
-32.52,Std -- Double Miles,Standard,Double Miles
624.09,Std -- Double Miles,Standard,Double Miles
399.81,Std -- Double Miles,Standard,Double Miles
-95,Std -- Double Miles,Standard,Double Miles
111.02,Std -- Double Miles,Standard,Double Miles
-66.13,Std -- Double Miles,Standard,Double Miles
3929,Std -- Double Miles,Standard,Double Miles
1842.88,Std -- Double Miles,Standard,Double Miles
4718.84,Std -- Double Miles,Standard,Double Miles
210.12,Std -- Double Miles,Standard,Double Miles
635.27,Std -- Double Miles,Standard,Double Miles
735.5,Std -- Double Miles,Standard,Double Miles
343.58,Std -- Double Miles,Standard,Double Miles
-92.41,Std -- Double Miles,Standard,Double Miles
3016.92,Std -- Double Miles,Standard,Double Miles
3686.15,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
1436.23,Std -- Double Miles,Standard,Double Miles
3732.35,Std -- Double Miles,Standard,Double Miles
1175.85,Std -- Double Miles,Standard,Double Miles
8.24,Std -- Double Miles,Standard,Double Miles
4274.31,Std -- Double Miles,Standard,Double Miles
-76.47,Std -- Double Miles,Standard,Double Miles
2213.26,Std -- Double Miles,Standard,Double Miles
2071.05,Std -- Double Miles,Standard,Double Miles
2050.19,Std -- Double Miles,Standard,Double Miles
-77.66,Std -- Double Miles,Standard,Double Miles
1931.25,Std -- Double Miles,Standard,Double Miles
2247.76,Std -- Double Miles,Standard,Double Miles
1776.03,Std -- Double Miles,Standard,Double Miles
170.13,Std -- Double Miles,Standard,Double Miles
566.43,Std -- Double Miles,Standard,Double Miles
476.92,Std -- Double Miles,Standard,Double Miles
1869.82,Std -- Double Miles,Standard,Double Miles
1436.1,Std -- Double Miles,Standard,Double Miles
2548.12,Std -- Double Miles,Standard,Double Miles
-54.46,Std -- Double Miles,Standard,Double Miles
1718.33,Std -- Double Miles,Standard,Double Miles
4749.44,Std -- Double Miles,Standard,Double Miles
2608.55,Std -- Double Miles,Standard,Double Miles
-28.7,Std -- Double Miles,Standard,Double Miles
711.15,Std -- Double Miles,Standard,Double Miles
-59.98,Std -- Double Miles,Standard,Double Miles
1749.42,Std -- Double Miles,Standard,Double Miles
740,Std -- Double Miles,Standard,Double Miles
2332.02,Std -- Double Miles,Standard,Double Miles
4193.96,Std -- Double Miles,Standard,Double Miles
3872.59,Std -- Double Miles,Standard,Double Miles
567.32,Std -- Double Miles,Standard,Double Miles
128.39,Std -- Double Miles,Standard,Double Miles
-15.21,Std -- Double Miles,Standard,Double Miles
-95,Std -- Double Miles,Standard,Double Miles
-78.12,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
944.64,Std -- Double Miles,Standard,Double Miles
-83.95,Std -- Double Miles,Standard,Double Miles
4544.69,Std -- Double Miles,Standard,Double Miles
2867.64,Std -- Double Miles,Standard,Double Miles
4295.82,Std -- Double Miles,Standard,Double Miles
2028.71,Std -- Double Miles,Standard,Double Miles
-48.77,Std -- Double Miles,Standard,Double Miles
1002.59,Std -- Double Miles,Standard,Double Miles
100.82,Std -- Double Miles,Standard,Double Miles
4843.68,Std -- Double Miles,Standard,Double Miles
570.86,Std -- Double Miles,Standard,Double Miles
601.79,Std -- Double Miles,Standard,Double Miles
1263.28,Std -- Double Miles,Standard,Double Miles
2274.76,Std -- Double Miles,Standard,Double Miles
4049.93,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
2942.3,Std -- Double Miles,Standard,Double Miles
1434.93,Std -- Double Miles,Standard,Double Miles
960.78,Std -- Double Miles,Standard,Double Miles
-92.61,Std -- Double Miles,Standard,Double Miles
1382.86,Std -- Double Miles,Standard,Double Miles
72.67,Std -- Double Miles,Standard,Double Miles
1204.46,Std -- Double Miles,Standard,Double Miles
-17.41,Std -- Double Miles,Standard,Double Miles
425.63,Std -- Double Miles,Standard,Double Miles
2814.95,Std -- Double Miles,Standard,Double Miles
653.26,Std -- Double Miles,Standard,Double Miles
1405.39,Std -- Double Miles,Standard,Double Miles
1416.72,Std -- Double Miles,Standard,Double Miles
-24.65,Std -- Double Miles,Standard,Double Miles
-89.89,Std -- Double Miles,Standard,Double Miles
1474.23,Std -- Double Miles,Standard,Double Miles
-32,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
3385.71,Std -- Double Miles,Standard,Double Miles
2198.45,Std -- Double Miles,Standard,Double Miles
1729.53,Std -- Double Miles,Standard,Double Miles
60.33,Std -- Double Miles,Standard,Double Miles
751.12,Std -- Double Miles,Standard,Double Miles
4415.04,Std -- Double Miles,Standard,Double Miles
4648.03,Std -- Double Miles,Standard,Double Miles
2080.05,Std -- Double Miles,Standard,Double Miles
3462.49,Std -- Double Miles,Standard,Double Miles
26.3,Std -- Double Miles,Standard,Double Miles
2048.93,Std -- Double Miles,Standard,Double Miles
1984.95,Std -- Double Miles,Standard,Double Miles
2757.97,Std -- Double Miles,Standard,Double Miles
-104.17,Std -- Double Miles,Standard,Double Miles
4030.23,Std -- Double Miles,Standard,Double Miles
1482.73,Std -- Double Miles,Standard,Double Miles
-13.31,Std -- Double Miles,Standard,Double Miles
1841.57,Std -- Double Miles,Standard,Double Miles
3643.74,Std -- Double Miles,Standard,Double Miles
2113.48,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
-73.5,Std -- Double Miles,Standard,Double Miles
4284.48,Std -- Double Miles,Standard,Double Miles
3851.13,Std -- Double Miles,Standard,Double Miles
1991.12,Std -- Double Miles,Standard,Double Miles
312.55,Std -- Double Miles,Standard,Double Miles
-55.85,Std -- Double Miles,Standard,Double Miles
-86.89,Std -- Double Miles,Standard,Double Miles
1749.44,Std -- Double Miles,Standard,Double Miles
2435.43,Std -- Double Miles,Standard,Double Miles
1704.25,Std -- Double Miles,Standard,Double Miles
1773.24,Std -- Double Miles,Standard,Double Miles
1965.79,Std -- Double Miles,Standard,Double Miles
1534.07,Std -- Double Miles,Standard,Double Miles
1987,Std -- Double Miles,Standard,Double Miles
125.52,Std -- Double Miles,Standard,Double Miles
3999.52,Std -- Double Miles,Standard,Double Miles
2735.43,Std -- Double Miles,Standard,Double Miles
2873.07,Std -- Double Miles,Standard,Double Miles
2583.44,Std -- Double Miles,Standard,Double Miles
3472.86,Std -- Double Miles,Standard,Double Miles
14.24,Std -- Double Miles,Standard,Double Miles
9.51,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
2875.59,Std -- Double Miles,Standard,Double Miles
729.39,Std -- Double Miles,Standard,Double Miles
1076.26,Std -- Double Miles,Standard,Double Miles
557.34,Std -- Double Miles,Standard,Double Miles
-81.55,Std -- Double Miles,Standard,Double Miles
4778.82,Std -- Double Miles,Standard,Double Miles
4429.89,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
4084.43,Std -- Double Miles,Standard,Double Miles
2545.99,Std -- Double Miles,Standard,Double Miles
-67.66,Std -- Double Miles,Standard,Double Miles
3164.04,Std -- Double Miles,Standard,Double Miles
426.95,Std -- Double Miles,Standard,Double Miles
291.23,Std -- Double Miles,Standard,Double Miles
2036.31,Std -- Double Miles,Standard,Double Miles
1909.37,Std -- Double Miles,Standard,Double Miles
1930.76,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
-10.26,Std -- Double Miles,Standard,Double Miles
2886,Std -- Double Miles,Standard,Double Miles
2398.72,Std -- Double Miles,Standard,Double Miles
2727.76,Std -- Double Miles,Standard,Double Miles
3840.92,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
1291.49,Std -- Double Miles,Standard,Double Miles
4116.32,Std -- Double Miles,Standard,Double Miles
1120.44,Std -- Double Miles,Standard,Double Miles
397.23,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
679.18,Std -- Double Miles,Standard,Double Miles
2750.7,Std -- Double Miles,Standard,Double Miles
113.72,Std -- Double Miles,Standard,Double Miles
3674.62,Std -- Double Miles,Standard,Double Miles
3267.01,Std -- Double Miles,Standard,Double Miles
-86.76,Std -- Double Miles,Standard,Double Miles
1711.63,Std -- Double Miles,Standard,Double Miles
3384.02,Std -- Double Miles,Standard,Double Miles
2289.51,Std -- Double Miles,Standard,Double Miles
2795.3,Std -- Double Miles,Standard,Double Miles
1466.42,Std -- Double Miles,Standard,Double Miles
2960.09,Std -- Double Miles,Standard,Double Miles
3718.72,Std -- Double Miles,Standard,Double Miles
3120.7,Std -- Double Miles,Standard,Double Miles
1960.53,Std -- Double Miles,Standard,Double Miles
2728.24,Std -- Double Miles,Standard,Double Miles
2224.07,Std -- Double Miles,Standard,Double Miles
3561.86,Std -- Double Miles,Standard,Double Miles
1853.73,Std -- Double Miles,Standard,Double Miles
760.76,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
1269.57,Std -- Double Miles,Standard,Double Miles
-94.65,Std -- Double Miles,Standard,Double Miles
119.47,Std -- Double Miles,Standard,Double Miles
1142.62,Std -- Double Miles,Standard,Double Miles
1650.63,Std -- Double Miles,Standard,Double Miles
993.13,Std -- Double Miles,Standard,Double Miles
4035.99,Std -- Double Miles,Standard,Double Miles
2658.49,Std -- Double Miles,Standard,Double Miles
3489.34,Std -- Double Miles,Standard,Double Miles
-99.02,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
3825.07,Std -- Double Miles,Standard,Double Miles
2011.04,Std -- Double Miles,Standard,Double Miles
1372.56,Std -- Double Miles,Standard,Double Miles
-79.81,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
54.62,Std -- Double Miles,Standard,Double Miles
4118.92,Std -- Double Miles,Standard,Double Miles
744.5,Std -- Double Miles,Standard,Double Miles
2936.68,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
679.22,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
-73.76,Std -- Double Miles,Standard,Double Miles
2721.43,Std -- Double Miles,Standard,Double Miles
1030.78,Std -- Double Miles,Standard,Double Miles
570.75,Std -- Double Miles,Standard,Double Miles
742.58,Std -- Double Miles,Standard,Double Miles
15.83,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
1147.18,Std -- Double Miles,Standard,Double Miles
1654.79,Std -- Double Miles,Standard,Double Miles
-86.55,Std -- Double Miles,Standard,Double Miles
-81.33,Std -- Double Miles,Standard,Double Miles
4121.51,Std -- Double Miles,Standard,Double Miles
1461.95,Std -- Double Miles,Standard,Double Miles
4034.68,Std -- Double Miles,Standard,Double Miles
1712.69,Std -- Double Miles,Standard,Double Miles
2374.88,Std -- Double Miles,Standard,Double Miles
2560.14,Std -- Double Miles,Standard,Double Miles
2216.32,Std -- Double Miles,Standard,Double Miles
2216.91,Std -- Double Miles,Standard,Double Miles
66.33,Std -- Double Miles,Standard,Double Miles
4934.23,Std -- Double Miles,Standard,Double Miles
2470.57,Std -- Double Miles,Standard,Double Miles
2276.97,Std -- Double Miles,Standard,Double Miles
514.79,Std -- Double Miles,Standard,Double Miles
270.23,Std -- Double Miles,Standard,Double Miles
-30.82,Std -- Double Miles,Standard,Double Miles
2506.31,Std -- Double Miles,Standard,Double Miles
2584.25,Std -- Double Miles,Standard,Double Miles
2243.34,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
3826.78,Std -- Double Miles,Standard,Double Miles
-95,Std -- Double Miles,Standard,Double Miles
-39.84,Std -- Double Miles,Standard,Double Miles
721.55,Std -- Double Miles,Standard,Double Miles
1296.54,Std -- Double Miles,Standard,Double Miles
3894.43,Std -- Double Miles,Standard,Double Miles
4054.61,Std -- Double Miles,Standard,Double Miles
3999.91,Std -- Double Miles,Standard,Double Miles
8.33,Std -- Double Miles,Standard,Double Miles
3665.47,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
193.35,Std -- Double Miles,Standard,Double Miles
542.83,Std -- Double Miles,Standard,Double Miles
-104.05,Std -- Double Miles,Standard,Double Miles
4695.64,Std -- Double Miles,Standard,Double Miles
189.51,Std -- Double Miles,Standard,Double Miles
1675.02,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
2618.82,Std -- Double Miles,Standard,Double Miles
418.13,Std -- Double Miles,Standard,Double Miles
4609.86,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
1590.86,Std -- Double Miles,Standard,Double Miles
1949.62,Std -- Double Miles,Standard,Double Miles
1808.51,Std -- Double Miles,Standard,Double Miles
2768.1,Std -- Double Miles,Standard,Double Miles
2390.02,Std -- Double Miles,Standard,Double Miles
4221.98,Std -- Double Miles,Standard,Double Miles
214.16,Std -- Double Miles,Standard,Double Miles
3930.17,Std -- Double Miles,Standard,Double Miles
3341.72,Std -- Double Miles,Standard,Double Miles
1834.64,Std -- Double Miles,Standard,Double Miles
2304.72,Std -- Double Miles,Standard,Double Miles
2808.34,Std -- Double Miles,Standard,Double Miles
-69.73,Std -- Double Miles,Standard,Double Miles
207.6,Std -- Double Miles,Standard,Double Miles
1363.68,Std -- Double Miles,Standard,Double Miles
12.73,Std -- Double Miles,Standard,Double Miles
4076.7,Std -- Double Miles,Standard,Double Miles
212.58,Std -- Double Miles,Standard,Double Miles
392.35,Std -- Double Miles,Standard,Double Miles
1521.56,Std -- Double Miles,Standard,Double Miles
4164.9,Std -- Double Miles,Standard,Double Miles
-98.02,Std -- Double Miles,Standard,Double Miles
-35.73,Std -- Double Miles,Standard,Double Miles
3186.63,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
2520.42,Std -- Double Miles,Standard,Double Miles
1614.77,Std -- Double Miles,Standard,Double Miles
1091.95,Std -- Double Miles,Standard,Double Miles
3136.72,Std -- Double Miles,Standard,Double Miles
3758.11,Std -- Double Miles,Standard,Double Miles
16.32,Std -- Double Miles,Standard,Double Miles
1270.02,Std -- Double Miles,Standard,Double Miles
1083.61,Std -- Double Miles,Standard,Double Miles
1355.99,Std -- Double Miles,Standard,Double Miles
1023.86,Std -- Double Miles,Standard,Double Miles
517.13,Std -- Double Miles,Standard,Double Miles
2584.3,Std -- Double Miles,Standard,Double Miles
-66.86,Std -- Double Miles,Standard,Double Miles
-94.95,Std -- Double Miles,Standard,Double Miles
1321.93,Std -- Double Miles,Standard,Double Miles
574.61,Std -- Double Miles,Standard,Double Miles
-72.5,Std -- Double Miles,Standard,Double Miles
1970.56,Std -- Double Miles,Standard,Double Miles
775.94,Std -- Double Miles,Standard,Double Miles
4046.12,Std -- Double Miles,Standard,Double Miles
2094.42,Std -- Double Miles,Standard,Double Miles
2850.89,Std -- Double Miles,Standard,Double Miles
81.58,Std -- Double Miles,Standard,Double Miles
2494.05,Std -- Double Miles,Standard,Double Miles
522.72,Std -- Double Miles,Standard,Double Miles
2897.78,Std -- Double Miles,Standard,Double Miles
1786.86,Std -- Double Miles,Standard,Double Miles
674.63,Std -- Double Miles,Standard,Double Miles
3060.3,Std -- Double Miles,Standard,Double Miles
2829.64,Std -- Double Miles,Standard,Double Miles
3699.5,Std -- Double Miles,Standard,Double Miles
2177.13,Std -- Double Miles,Standard,Double Miles
-74.73,Std -- Double Miles,Standard,Double Miles
2924.59,Std -- Double Miles,Standard,Double Miles
2227.75,Std -- Double Miles,Standard,Double Miles
45.15,Std -- Double Miles,Standard,Double Miles
3631.55,Std -- Double Miles,Standard,Double Miles
3977.82,Std -- Double Miles,Standard,Double Miles
4015.71,Std -- Double Miles,Standard,Double Miles
423.94,Std -- Double Miles,Standard,Double Miles
2205.92,Std -- Double Miles,Standard,Double Miles
-100,Std -- Double Miles,Standard,Double Miles
70.76,Std -- Double Miles,Standard,Double Miles
1067.35,Std -- Double Miles,Standard,Double Miles
